name,city,state,capacity,lat,lon
WATERVLIET CIVIC CENTER,WATERVLIET,NY,277.0,42.72460679,-73.7015242
Willits Senior Center,WILLITS,CA,0.0,39.39751998,-123.34874971
JOHN ANDERSON FORD PARK,BELL GARDENS,CA,414.0,33.9591398,-118.15204434
Oakland Technical High School,OAKLAND,CA,500.0,37.832232,-122.25384313
Latter Day Saints (mormon),DIAMOND BAR,CA,0.0,34.00272095,-117.81025701
Latter Day Saints Church Irvine Stake,IRVINE,CA,390.0,33.67645591,-117.80418658
Aliso Pico Recreation Center 1 of 2,LOS ANGELES,CA,100.0,34.04344225,-118.22381923
Inactive- Encanto Recreation Center,SAN DIEGO,CA,494.0,32.71453207,-117.05785722
Del Norte County Fairgrounds - Commercial Bldg,CRESCENT CITY,CA,450.0,41.76057854,-124.19770971
Del Norte High School,CRESCENT CITY,CA,950.0,41.76727849,-124.20920304
Chesnee Elementary School,CHESNEE,SC,8186.0,35.1515239,-81.86032653
MARSHALL MIDDLE SCHOOL,WEXFORD,PA,2567.0,40.64179496,-80.09386022
North Conway Baptist Church,CONWAY,SC,0.0,33.85242625,-79.05243631
Pine Grove Baptist,CONWAY,SC,0.0,33.84855017,-78.89146666
JUNCTION MIDDLE SCHOOL,PALO CEDRO,CA,0.0,40.53991076000001,-122.23873452
JUNE STREET COMMUNITY DAY SCHOOL,REDDING,CA,0.0,40.56565835000001,-122.35914474
JUNIPER ACADEMY,REDDING,CA,950.0,40.56353595,-122.3818796
John Marshall High School,LOS ANGELES,CA,950.0,34.10799558,-118.27792245
FOREST HOME MINISTRIES ***,OAK VIEW,CA,326.0,34.41138187,-119.30605437
FOREST LAKES AMERICAN ADVENTURE,LAKE HUGHES,CA,120.0,34.67312055,-118.43017767
Fort Bragg Grange #672,FORT BRAGG,CA,0.0,39.4993592,-123.77406608
FIRST BAPTIST LEXINGTON,LEXINGTON,TN,200.0,35.64536861,-88.39399101000001
Benzie Central Schools - Middle School & High School,BENZONIA,MI,800.0,44.61707712,-86.06476494
ROCK CITY United Methodist Church,ROCK CITY,IL,100.0,42.4113421,-89.476912
PARADISE INTERMEDIATE,PARADISE,CA,315.0,39.7504679,-121.61264451
DIAMOND VIEW SCHOOL,SUSANVILLE,CA,0.0,40.40664923,-120.66159347
PACIFIC GROVE HIGH MULTIPURPOSE ROOM,PACIFIC GROVE,CA,270.0,36.63588189,-121.93638245
Pacific Grove Middle School,PACIFIC GROVE,CA,315.0,36.614514,-121.92058136
PACIFIC HIGH SCHOOL GYM,PACIFIC GROVE,CA,465.0,36.63588189,-121.93638245
Pacific Elementary School,DAVENPORT,CA,50.0,37.01188843,-122.19504545
Ventura College,Ventura,CA,350.0,34.27576411,-119.23051132
Wilmington Middle School,WILMINGTON,CA,0.0,33.79696506,-118.27428019
Glenn L Martin Elementary School,CROSSVILLE,TN,0.0,35.93174871,-85.01343051
Soma Eugene Friend Rec Center,San Francisco,CA,550.0,37.77888422,-122.40607137
SOMIS ELEMENTARY SCHOOL,SOMIS,CA,0.0,34.25882088,-118.99725417
Sonoma Community Center,SONOMA,CA,0.0,38.29141683,-122.45255732
BLUE MOUNTAIN AREA HIGH SCHOOL,SCHUYLKILL HAVEN,PA,500.0,40.6255532,-76.1715751
Blue Mountain School District - Middle School,ORWIGSBURG,PA,200.0,40.65532975,-76.08591468
Tawas Area Middle/High School,TAWAS CITY,MI,0.0,44.28016411,-83.52287619
Ukiah Junior Academy,UKIAH,CA,0.0,39.10704796,-123.19671033
World Overcomers,MEMPHIS,TN,500.0,35.04943286,-89.83969614
Meadville Benevolent Protective Order( B P O) Elks #219,MEADVILLE,PA,100.0,41.6827692,-80.12795351
LAFAYETTE CHURCH OF CHRIST,LAFAYETTE,TN,172.0,36.52164101,-86.03092345
SWEETWATER HIGH SCHOOL,Sweetwater,TN,0.0,35.5947098,-84.47154402000001
Kenwood Elem. School,CLARKSVILLE,TN,336.0,36.57810944,-87.39050051000001
Kenwood High School,CLARKSVILLE,TN,649.0,36.57993507,-87.38745181
Eisenhower Junior High School,SALT LAKE CITY,UT,775.0,40.675959,-111.936654
First Baptist Church Gallatin,GALLATIN,TN,153.0,36.38882914000001,-86.44428783
